SELECTOR;POBLACION;PROB CRUCE;PROB MUTAC;Caso-A1;Caso-A2;Caso-A3;Caso-A4;Caso-A5;Especial;;Tiempo C1;Tiempo C2;Tiempo C3;Tiempo C4;Tiempo C5;Tiempo Especial
GARouletteWheelSelector;100;0,8;0,01;0;0;3;0;0;4;;2,0049569606781006;0,9159338474273682;7,231273174285889;1,791508436203003;0,4042513370513916;7,4781177043914795;
GARouletteWheelSelector;100;0,8;0,05;0;1;0;0;0;5;;1,7948520183563232;8,486665725708008;1,226607084274292;3,568574905395508;0,27973222732543945;8,770137548446655;
GARouletteWheelSelector;100;0,8;0,1;0;1;1;0;0;6;;0,6871874332427979;9,263981580734253;9,351211547851562;4,133319854736328;0,4114096164703369;9,619819164276123;
GARouletteWheelSelector;100;0,8;0,125;0;1;0;2;0;2;;2,4945662021636963;9,595479011535645;5,309462070465088;9,901806592941284;1,9888501167297363;10,030368089675903;
GARouletteWheelSelector;100;0,8;0,15;0;4;0;0;4;2;;3,9536337852478027;10,037221670150757;2,067063093185425;1,3123040199279785;10,04828429222107;10,350588321685791;
GARouletteWheelSelector;100;0,85;0,01;0;1;0;0;3;3;;0,4376943111419678;7,161662578582764;0,5067429542541504;0,9214973449707031;7,170874118804932;7,457489728927612;
GARouletteWheelSelector;100;0,85;0,05;3;1;3;0;0;2;;8,692877769470215;8,428648710250854;8,461510181427002;2,447394609451294;0,295255184173584;8,628883123397827;
GARouletteWheelSelector;100;0,85;0,1;0;0;1;0;0;3;;2,772691011428833;0,7415871620178223;9,232300519943237;7,85638689994812;1,847296953201294;9,553044319152832;
GARouletteWheelSelector;100;0,85;0,125;0;4;1;8;0;1;;3,2258570194244385;9,638762950897217;9,94563889503479;10,022101640701294;1,67677903175354;10,146218061447144;
GARouletteWheelSelector;100;0,85;0,15;0;1;0;0;0;7;;9,152676343917847;10,125118732452393;3,0625967979431152;6,261216878890991;0,3663902282714844;10,521050453186035;
