SELECTOR;POBLACION;PROB CRUCE;PROB MUTAC;C1;C2;C3;C4;C5;Especial;;Tiempo C1;Tiempo C2;Tiempo C3;Tiempo C4;Tiempo C5;Tiempo Especial
GARouletteWheelSelector;100;0,8;0,01;0;0;3;0;0;4;;1,25;0,56;5,45;0,97;0,18;5,50;
GARouletteWheelSelector;100;0,8;0,05;0;1;0;0;0;5;;1,21;6,47;0,81;2,28;0,11;6,80;
GARouletteWheelSelector;100;0,8;0,1;0;1;1;0;0;1;;0,43;7,17;7,20;3,13;0,22;7,45;
GARouletteWheelSelector;100;0,8;0,125;0;1;0;0;0;3;;1,83;7,48;4,02;6,68;1,38;7,78;
GARouletteWheelSelector;100;0,8;0,15;0;4;0;0;4;2;;3,02;7,75;1,48;0,95;7,83;8,17;
GARouletteWheelSelector;100;0,85;0,01;0;1;0;0;3;3;;0,24;5,37;0,23;0,62;5,33;5,60;
GARouletteWheelSelector;100;0,85;0,05;0;1;3;0;0;2;;5,84;6,45;6,46;1,79;0,12;6,70;
GARouletteWheelSelector;100;0,85;0,1;4;0;1;0;0;3;;7,37;0,44;7,25;6,07;1,23;7,43;
GARouletteWheelSelector;100;0,85;0,125;0;4;1;8;0;1;;2,43;7,47;7,49;7,67;0,35;7,82;
GARouletteWheelSelector;100;0,85;0,15;2;1;1;0;0;7;;8,07;7,86;7,88;4,69;0,16;8,15;
GARouletteWheelSelector;100;0,9;0,01;0;0;0;2;0;2;;0,30;0,22;0,29;5,51;0,39;5,63;
GARouletteWheelSelector;100;0,9;0,05;0;4;0;0;0;5;;6,59;6,47;3,19;0,84;0,43;6,68;
GARouletteWheelSelector;100;0,9;0,1;3;4;1;2;0;2;;7,42;7,19;7,30;7,32;0,19;7,41;
GARouletteWheelSelector;100;0,9;0,125;8;1;0;0;3;2;;7,80;7,47;0,87;0,72;7,58;7,81;
GARouletteWheelSelector;100;0,9;0,15;2;1;1;5;0;4;;8,10;7,77;7,82;8,04;5,13;8,19;
GARouletteWheelSelector;100;0,95;0,01;0;3;0;0;0;2;;0,18;5,58;0,16;0,17;0,41;5,82;
GARouletteWheelSelector;100;0,95;0,05;4;1;3;0;0;2;;6,66;6,70;6,93;1,35;0,42;6,89;
GARouletteWheelSelector;100;0,95;0,1;0;1;1;0;0;2;;6,21;7,85;7,64;0,98;2,98;8,13;
